,Field,Telescope,SDSS ID,nvisits,SNR,J_M,J_M_e,H_M,H_M_e,K_M,K_M_e,RA,Dec,Star Flags (bitwise),Star Flags (spelled),ASPCAP Flags (bitwise),ASPCAP Flags (spelled),teff,teff_e,logg,logg_e,vscatter,vsini,SLs,Fe_H,Fe_H_e,radius,P_joker,e_joker,K_joker,P_rsync,RHS_joker,RHS_rsync,CO_mass_joker,CO_mass_rsync
821,K2_C13_180-12_btx,apo25m,2M04570892+2225446,3.0,9.164909,13.085,0.024,12.67,0.023,12.587,0.026,74.287181,22.429062,58720272.0,"LOW_SNR,SUSPECT_ROTATION,MTPFLUX_LT_75,MTPFLUX_LT_50",134217921.0,"TEFF_WARN,N_M_WARN,STAR_WARN,SN_BAD",5646.5703,346.5689,3.60963,0.25376564,2.392666,13.743585,1.0,-0.23936,-0.23936,1.945,260263.87481689453,0.13217012584209442,130.1181706207402,618616.4218003098,0.5557460087182162,1.015931438394895e-05,2.5242012176173114,1.0219745746496443
927,ORIONOB1AB-D,apo25m,2M05202650-0300325,3.0,82.54029,12.848,0.024,12.095,0.024,11.712,0.019,80.110432,-3.009055,0.0,,708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",3493.741,7.4236197,4.402063,0.024170034,1.0901994,12.48533,1.0,,,1.102,362842.49267578125,0.034892644733190536,137.0312904121277,385818.8485255682,1.0612984817410214,5.993741064888318e-07,3.227874574705143,1.0084790985520409
945,ORIONOB1AB-C,apo25m,2M05252037-0158368,4.0,112.02503,11.796,0.024,11.172,0.027,10.983,0.024,81.334911,-1.97691,2048.0,PERSIST_LOW,708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",4104.4385,11.510292,4.2164893,0.02744958,7.2392993,14.47105,1.0,-0.27995,-0.27995,1.293,131195.2766418457,0.4596000909805298,245.75687961058844,390571.32271250914,0.9274806834681361,0.00017765877783943568,3.0518386414665373,1.0583843467235787
1002,279-32-O,lco25m,2M05311226-6825508,4.0,290.1068,10.93,0.026,10.57,0.024,10.516,0.025,82.801098,-68.430786,8388608.0,SUSPECT_ROTATION,16384.0,VSINI_WARN,5625.7324,19.950125,3.7735791,0.015008227,30.07335,59.813614,1.0,0.32457,0.32457,3.152,177866.3314819336,0.04239879548549652,137.49313414603816,230349.90464514733,0.5194102661033607,0.007511560742276781,2.46804749023175,1.2241098751925934
1179,Berkeley_20_btx,apo25m,2M05363621-0112076,3.0,111.79128,11.78,0.022,11.247,0.031,11.113,0.019,84.150901,-1.202134,58720256.0,"SUSPECT_ROTATION,MTPFLUX_LT_75,MTPFLUX_LT_50",68.0,"VMICRO_WARN,N_M_WARN",4673.5054,18.548292,4.27781,0.03330082,50.306805,33.442596,1.0,-0.40245,-0.40245,1.44,147911.5997314453,0.006558301392942667,154.35460303132518,188219.39858421776,0.6457602194757665,0.028730376018523587,2.6589370130391603,1.3795566812935904
1223,ORIONB-B,apo25m,2M05383268-0231156,3.0,56.68837,12.554,0.028,12.191,0.024,12.115,0.028,84.636174,-2.521004,2048.0,PERSIST_LOW,4.0,VMICRO_WARN,5852.7935,43.272705,4.196026,0.033756632,25.385162,15.307351,1.0,-0.034064,-0.034064,1.324,627092.6330566406,0.2184191644191742,92.76148449520696,378085.32071311394,0.41466019040601526,0.0074152595082441425,2.298913773271842,1.2230149440292553
1236,ORIONA-D,apo25m,2M05385437-0728014,3.0,86.68323,12.704,0.021,12.122,0.027,11.958,0.026,84.72655,-7.467056,8388608.0,SUSPECT_ROTATION,708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",4309.5767,15.9867,4.331216,0.036459986,32.21275,36.982815,1.0,-0.50296,-0.50296,0.834,129640.36445617676,0.30167317390441895,212.32913447750386,98575.26592237056,0.868268050496809,0.0039504637783142095,2.9720880097601654,1.1761407651073177
1282,LAMBDAORI-A,apo25m,2M05403062+0920387,3.0,95.66719,11.341,0.024,10.79,0.024,10.637,0.021,85.127598,9.344102,0.0,,708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",4573.072,15.284049,4.26626,0.027273778,3.8570745,13.791136,1.0,-0.1438,-0.1438,1.599,151749.79705810547,0.05503775551915169,132.01112109147357,506815.9734708973,0.38448383254172047,3.486752307457003e-05,2.247742078843844,1.0333930608167294
1414,M35N2158_btx,apo25m,2M06093847+2440341,3.0,94.54561,12.333,0.024,12.128,0.022,12.04,0.02,92.410311,24.676149,50331652.0,"BRIGHT_NEIGHBOR,MTPFLUX_LT_75,MTPFLUX_LT_50",0.0,,6657.0894,74.21631,4.189859,0.039170142,15.8189125,18.080067,1.0,-0.044322,-0.044322,1.428,138387.07122802734,0.001435738173313439,139.941904387442,345247.10345357173,0.45373220521691254,0.0016385384447713499,2.363412338875083,1.1277302316497548
1452,N2243-S,lco25m,2M06275333-3159469,3.0,112.645386,12.633,0.023,12.148,0.024,12.064,0.023,96.972242,-31.996368,0.0,,4.0,VMICRO_WARN,4673.793,11.542398,3.8146224,0.0302193,16.537169,15.513152,1.0,-0.15913,-0.15913,2.87,172378.25889587402,0.005170363932847977,158.15560129260552,808693.0684523613,0.8112524380077576,0.004384942826478996,2.8940386787562016,1.1830928877696723
